Altitude_ft,Density_slug_ft3,Motor,Prop,Voltage_V,Thrust_g,RPM,InputPower_W,Reason,Feasible,Meets_30ft,S_TO_ft,T_TO_s,V_pitch_mph,V_stall_mph,V_max_mph,V_cruise_mph,n_turn,V_turn_mph,R_turn_ft,Lap_time_s,First_lap_s,N_laps_5min,Mission_energy_Wh,MotorProp_lb,Battery_lb,Total_lb
0,0.0023768499253347276,VL6013 KV210,P22*6.6,44.56,12517.0,7195,3447.0,OK,True,False,39.207778140602265,1.6626502818011597,44.96873800833333,26.801881295251587,38.181808000000004,34.3636272,1.2,35.22576251629138,125.06980857965794,70.10332412402326,76.76597440582442,4,43.63630859185964,,0.7515740519358249,29.827428611935826
0,0.0023768499253347276,VL7015 KV190,P24*7.2,43.32,13839.0,6584,3266.0,OK,True,False,36.136892026377375,1.52361818084828,44.890897120000005,26.957001336695434,38.181808000000004,34.3636272,1.2,35.429394722092724,126.51998891703478,70.27917983290001,76.80279801374829,4,44.28417679261149,,0.7627326706291182,30.17368947062912
0,0.0023768499253347276,VL8015 KV170,G26*8.5,43.77,14233.0,5278,3684.0,OK,True,False,35.22719601990844,1.4838728996969117,42.48389018611111,26.979994772243863,36.136354000000004,32.522718600000005,1.1,33.952845198986516,168.19021164877216,84.37140810873552,90.85528100843243,3,38.31404540933849,,0.6599055530494986,30.225185753049498
0,0.0023768499253347276,VL8018 KV180,G26*8.5,42.48,16107.0,5657,4043.0,OK,True,False,31.323698412228346,1.315776455109639,45.534552251388895,27.067209433020523,40.227262,36.2045358,1.2,35.561494500324514,127.46521649490666,68.37550425606659,74.69128071117623,4,43.917861907753654,,0.7564234118677488,30.42091151186775
0,0.0023768499253347276,VL8020 KV170,VZ28*10.8,42.11,18321.0,4964,4616.0,OK,True,True,28.002107365897675,1.1700818860804367,50.768168280000005,27.202731512751154,45.681806,41.113625400000004,1.5,39.96856426003111,95.53007243235699,53.64607804681617,59.81615993289661,5,51.408766365370184,,0.8854437070658,30.7263014070658
0,0.0023768499253347276,VL8022 KV170,VZ29*11,42.33,20308.0,4916,5062.0,OK,True,True,25.379098626144266,1.0583976560552524,51.20831967777778,27.256429006597283,46.363624,41.727261600000006,1.6,41.360499358273465,91.57296273119414,51.64941042059577,57.70780807665102,5,52.05872294586537,,0.8966382951633881,30.847726995163388
0,0.0023768499253347276,VL1028 KV190,G29*9.5,43.31,24564.0,5638,7679.0,OK,True,True,21.37157128305206,0.8860547719060115,50.7206304138889,27.417359744371602,46.363624,41.727261600000006,1.6,41.60392781277849,92.65404558463864,51.76105699098612,57.64711176289213,5,53.4306270743188,,0.9202674145358178,31.213072214535817
0,0.0023768499253347276,VL1032 KV180,G30*10.5,43.32,29275.0,5519,8321.0,OK,True,True,17.86978172334092,0.7407519796293213,54.876405820833334,27.414475506757846,51.13635,46.022715000000005,1.9,45.34419387681807,85.09051162421777,45.70784256065183,51.44859454028115,3,33.84936351203605,,0.583007685827382,31.206505485827382
1300,0.002287742906737837,V505 KV260,P16*5.8,47.16,7500.0,10606,1990.36,OK,True,False,71.66827244210984,2.9978082715970156,58.25263598111111,27.170922845313193,43.636352,39.272716800000005,1.2,35.7118347652364,128.5452420614785,65.56277611798816,73.56058438958519,4,41.955411049908065,,0.7226229555378775,29.505263055537878
1300,0.002287742906737837,V505 KV261,P17*5.8,46.93,8741.0,10075,2483.87,OK,True,False,60.76165530396299,2.541293289953986,55.33615948611112,27.1718112087432,43.636352,39.272716800000005,1.2,35.71608830191921,128.57586521306612,65.56644945004113,73.10774273999512,4,42.06743195982167,,0.7245523581817346,29.507192458181738
1300,0.002287742906737837,V602 KV180,V22*7.4,46.81,9749.0,5700,1989.62,OK,True,False,52.181170762958914,2.2011937603259573,39.94317116666667,26.93820699570074,29.318174000000003,26.386356600000003,1.0,29.318174000000003,57468.76359793622,16846.41870564842,16853.619899408746,0,1.2165386470610362,,0.020953167438153918,29.002009067438156
1300,0.002287742906737837,V605 KV210,V22*7.4,46.6,12761.0,7036,3182.62,OK,True,False,41.44491494857479,1.7253416933522692,49.305289882222226,27.30082952161566,41.590898,37.4318082,1.3,37.347907084592755,112.27059174114179,62.18585185804373,68.911193551396,4,41.735282675802196,,0.7188315538494299,29.788072253849432
1300,0.002287742906737837,V804 KV170,G26*8.5,46.0,16015.5,5928,4147.46,OK,True,False,34.38102721841285,1.413660196242586,47.71589636666667,27.64155655943758,41.590898,37.4318082,1.3,37.81324533696637,115.0857036056633,62.506759864953345,68.92042006119593,4,43.5744061337179,,0.7505078691446653,30.536250069144668
1300,0.002287742906737837,V804 KV170,G27*8.8,45.68,17271.5,5546,4837.44,OK,True,False,31.800933017205285,1.3074243090921045,46.21665434222223,27.65619603935845,40.90908,36.818172000000004,1.2,36.33393104000167,133.06273770235177,68.41483002500807,74.72225433410017,4,45.452857989397366,,0.7828615607858219,30.568603760785823
1300,0.002287742906737837,V804 KV170,G28*9.2,45.53,17357.91,5380,5177.43,OK,True,False,31.630641298929064,1.3004838682172157,46.87119962222222,27.64351587068941,41.590898,37.4318082,1.3,37.815788646081806,115.10118539569966,62.50851378966301,68.80899765788023,4,43.82575576624099,,0.7548370131044547,30.540579213104458
1300,0.002287742906737837,V807 KV170,G27*8.8,45.52,19849.0,5785,5308.27,OK,True,True,28.204314031849055,1.1527388250730188,48.20832047777778,27.813014542198808,42.954534,38.6590806,1.4,39.47726861413643,106.34488221626029,58.35400739324838,64.5067462183214,5,54.11727581479089,,0.9320939734906583,30.91625197349066
1300,0.002287742906737837,V807 KV170,G28*9.2,45.34,20721.0,5649,5647.55,OK,True,True,26.970333349944518,1.1023991484557707,49.21475960333333,27.809073034215487,44.31817,39.886353,1.4,39.47388950798821,106.3266775491995,57.26669735845606,63.36909650691183,5,53.608558365712284,,0.9233320308141922,30.90749003081419
